URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5.0,2.0,0.429,0.037,15.0,35.602,20.241,15.0,68.0,191.0,2.257,0.0,7.0
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,19.0,9.0,0.357,0.052,12.0,30.074,16.83,12.0,163.0,542.0,2.105,0.0,6.0
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11.0,4.0,0.467,0.065,16.0,31.602,19.041,16.0,73.0,231.0,2.182,0.0,7.0
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,25.0,13.0,0.316,0.083,14.0,53.275,26.91,14.0,244.0,458.0,2.651,0.0,7.0
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,2.0,0.0,1.0,0.009,11.0,38.117,19.647,11.0,85.0,223.0,2.354,0.0,7.0
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5.0,2.0,0.429,0.037,15.0,35.602,20.241,15.0,68.0,191.0,2.257,0.0,7.0
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,19.0,9.0,0.357,0.052,12.0,30.074,16.83,12.0,163.0,542.0,2.105,0.0,6.0
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11.0,4.0,0.467,0.065,16.0,31.602,19.041,16.0,73.0,231.0,2.182,0.0,7.0
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,25.0,13.0,0.316,0.083,14.0,53.275,26.91,14.0,244.0,458.0,2.651,0.0,7.0
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,68.0,23.0,0.495,0.071,11.0,47.867,23.547,11.0,617.0,1289.0,2.5,0.0,7.0
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,19.0,7.0,0.462,0.07,12.0,48.919,24.368,12.0,181.0,370.0,2.616,0.0,7.0
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,31.0,4.0,0.771,0.066,15.0,54.08,27.632,15.0,285.0,527.0,2.738,0.0,8.0
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,24.0,6.0,0.6,0.086,11.0,46.839,23.136,11.0,163.0,348.0,2.615,0.0,8.0
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,13.0,6.0,0.368,0.057,13.0,49.249,24.9,13.0,164.0,333.0,2.595,0.0,7.0
